sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,activation_info,color,condition,contrast_ratio,cost,country_of_manufacture,cpu_cores,cpu_quantity,cpu_speed,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,custom_stock_status,custom_stock_status_qty_based,custom_stock_status_qty_rule,description,featured,gallery,gift_message_available,has_options,hdd1_capacity,hdd1_quantity,hdd2_capacity,hdd2_quantity,hdd_physical_size,hdd_quantity_storage,hdd_speed_type,hide_default_stock_status,image,image_label,manufacturer,media_gallery,memory,meta_description,meta_keyword,meta_title,minimal_price,model,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,part_number,part_type,price,processor,raid_controller,ram_technology,required_options,rw_video_host,server_compatibility,server_type,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_custom_option_store,_custom_option_type,_custom_option_title,_custom_option_is_required,_custom_option_price,_custom_option_sku,_custom_option_max_characters,_custom_option_sort_order,_custom_option_row_title,_custom_option_row_price,_custom_option_row_sku,_custom_option_row_sort
,,,,"Dell Servers/11th Generation Servers","EZTradeLive.com Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Rack Servers","EZTradeLive.com Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PE-R310-2.4GHzQC-8GB-4x500GB ",,Server,simple,"Dell Servers","EZTradeLive.com Products",base,,,,,,,"Quad Core",1,2.4GHz,"2012-02-03 17:41:20",,,,,,,,"<p><span style=""font-size: medium;"">The Dell&trade; PowerEdge&trade; R310 is a high-performance, 1-socket 1U rack server with flexible computing power, business scalability, simplified management, data protection, and security options.</span></p>",,,,0,500GB,4,,,3.5&quot;,,"7,200RPM SATA",,/r/3/r310-front.jpg,"Dell PowerEdge R310",Dell,,8GB,"Get your refurbished Dell PowerEdge R310 today and save! Dell PowerEdge R310 - 2.4GHz Quad Core / 8GB / 4 x 500GB HDD- EZTradeLive.com","Dell PowerEdge R310, PowerEdge R310, Dell R310, PER310, Dell PE R310, Dell peR310, refurbished dell poweredge R310, refurbished poweredge R310, refurbished pe R310, used dell poweredge R310, used poweredge R310, R310 server, PE R310 server ","Dell PowerEdge R310 2.4GHz Quad Core / 8GB / 4 x 500GB HDD - EZTradeLive.com",,"PowerEdge R310",,"Use config","Use config","Dell PowerEdge R310",,,"Block after Info Column",,,,1875.0000,"Intel Xeon X3430",No,DDR3-SDRAM,0,1,,,"<p><span style=""font-size: medium;"">2.4GHz Intel Xeon Quad Core CPU</span><br /><span style=""font-size: medium;"">8GB DDR3 RAM</span><br /><span style=""font-size: medium;"">4 x 500GB SATA HDD</span><br /><span style=""font-size: medium;"">PERC S100 Onboard SATA RAID Controller</span><br /><span style=""font-size: medium;"">3 Year 100% Warranty</span></p>",/r/3/r310-front.jpg,"Dell PowerEdge R310",,,,2,2,/r/3/r310-front.jpg,"Dell PowerEdge R310","2014-01-17 17:00:41",pe-r310-2-4qc-8gb-4x500gb,pe-r310-2-4qc-8gb-4x500gb,4,45.0000,5.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,"PE-R310-2.4GHzQC-16GB-4x500GB ",0,,,,,,,,,,,,,,,82,/r/3/r310-front.jpg,"Dell PowerEdge R310",1,0,,,,,,,,,,,,
,,,,"Dell Servers/Dell Rack Servers","EZTradeLive.com Products",mobile_store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PE-R310-2.4GHzQC-16GB-4x1TB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dell Servers/Dell Rack Servers/1U Rackmount","EZTradeLive.com Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dell Servers/Dell Rack Servers/1U Rackmount/Dell PowerEdge R310 1U Rackmount Server ","EZTradeLive.com Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dell Servers/11th Generation Servers","EZTradeLive.com Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Rack Servers","EZTradeLive.com Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PE-R310-2.4GHzQC-4GB-4x500GB ",,Server,simple,"Dell Servers","EZTradeLive.com Products",base,,,,,,,"Quad Core",1,2.4GHz,"2012-02-03 18:25:44",,,,,,,,"<p><span style=""font-size: medium;"">The Dell&trade; PowerEdge&trade; R310 is a high-performance, 1-socket 1U rack server with flexible computing power, business scalability, simplified management, data protection, and security options.</span></p>",,,,0,500GB,4,,,3.5&quot;,,"7,200RPM SATA",,/r/3/r310-front_1.jpg,"Dell PowerEdge R310",Dell,,4GB,"Get your refurbished Dell PowerEdge R310 today and save! Dell PowerEdge R310 - 2.4GHz Quad Core / 4GB / 4 x 500GB HDD- EZTradeLive.com","Dell PowerEdge R310, PowerEdge R310, Dell R310, PER310, Dell PE R310, Dell peR310, refurbished dell poweredge R310, refurbished poweredge R310, refurbished pe R310, used dell poweredge R310, used poweredge R310, R310 server, PE R310 server ","Dell PowerEdge R310 2.4GHz Quad Core / 4GB / 4 x 500GB HDD - EZTradeLive.com",,"PowerEdge R310",,"Use config","Use config","Dell PowerEdge R310",,,"Block after Info Column",,,,1625.0000,"Intel Xeon X3430",No,DDR3-SDRAM,0,1,,"Rack - 1U","<p><span style=""font-size: medium;"">2.4GHz Intel Xeon Quad Core CPU</span><br /><span style=""font-size: medium;"">4GB DDR3 RAM</span><br /><span style=""font-size: medium;"">4 x 500GB SATA HDD</span><br /><span style=""font-size: medium;"">PERC S100 Onboard SATA RAID Controller</span><br /><span style=""font-size: medium;"">3 Year 100% Warranty</span></p>",/r/3/r310-front_1.jpg,"Dell PowerEdge R310",,,,2,2,/r/3/r310-front_1.jpg,"Dell PowerEdge R310","2014-01-17 17:00:41",pe-r310-2-4qc-4gb-4x500gb,pe-r310-2-4qc-4gb-4x500gb,4,45.0000,5.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,"PE-R310-2.4GHzQC-16GB-4x500GB ",0,,,,,,,,,,,,,,,82,/r/3/r310-front_1.jpg,"Dell PowerEdge R310",1,0,,,,,,,,,,,,
,,,,"Dell Servers/Dell Rack Servers","EZTradeLive.com Products",mobile_store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PE-R310-2.4GHzQC-16GB-4x1TB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
